StationID,StationName,InstallationDate,LocationID
US1FLVL0081,"ORMOND BY THE SEA 0.8 SSE, FL US",2020-01-01,31
US1FLVL0082,"ORMOND BEACH 4.1 ESE, FL US",2020-01-01,32
US1FLVL0087,"PORT ORANGE 0.8 NNW, FL US",2020-01-01,33
US1FLFL0050,"PALM COAST 2.4 SW, FL US",2020-01-01,34
US1FLVL0086,"DE LEON SPRINGS 1.4 ESE, FL US",2020-01-01,35
USW00053853,"DESTIN FORT WALTON BEACH AIRPORT, FL US",2020-01-01,36
USC00084500,"KENANSVILLE, FL US",2020-01-01,37
US1FLMN0034,"BIG PINE KEY 0.9 WNW, FL US",2020-01-01,38
USW00053860,"JACKSONVILLE CRAIG MUNICIPAL AIRPORT, FL US",2020-01-01,39
US1FLMN0037,"KEY LARGO 17.9 NE, FL US",2020-01-01,40
US1FLFL0049,"PALM COAST 1.9 S, FL US",2020-01-01,41
US1FLVL0089,"NEW SMYRNA BEACH 8.5 W, FL US",2020-01-01,42
US1FLFL0047,"PALM COAST 4.5 SSW, FL US",2020-01-01,43
US1FLFL0043,"PALM COAST 8.3 S, FL US",2020-01-01,44
US1FLVL0099,"ORMOND BEACH 2.0 ENE, FL US",2020-01-01,45
US1FLFL0040,"PALM COAST 0.8 NNW, FL US",2020-01-01,46
US1FLMN0039,"ISLAMORADA 7.8 SW, FL US",2020-01-01,47
US1FLVL0090,"LAKE HELEN 0.9 S, FL US",2020-01-01,48
US1FLVL0091,"DELAND 4.2 NW, FL US",2020-01-01,49
USC00084731,"LAKE CITY 2 E, FL US",2020-01-01,50
US1FLMN0044,"BIG PINE KEY 2.8 NNW, FL US",2020-01-01,51
US1FLMN0049,"MARATHON 1.7 ENE, FL US",2020-01-01,52
US1FLFL0038,"PALM COAST 4.1 S, FL US",2020-01-01,53
US1FLFL0039,"FLAGLER BEACH 2.3 SSE, FL US",2020-01-01,54
US1FLFL0030,"PALM COAST 4.2 SSW, FL US",2020-01-01,55
US1FLVL0062,"PORT ORANGE 0.2 NNW, FL US",2020-01-01,56
US1FLFL0032,"PALM COAST 1.9 NNE, FL US",2020-01-01,57
US1FLCT0046,"INVERNESS 4.5 WNW, FL US",2020-01-01,58
US1FLVL0060,"PORT ORANGE 2.5 NNE, FL US",2020-01-01,59
US1FLFL0033,"FLAGLER BEACH 1.3 SE, FL US",2020-01-01,60
US1FLCT0045,"INVERNESS 1.6 SE, FL US",2020-01-01,61
US1FLVL0063,"ORMOND BY THE SEA 0.1 SSE, FL US",2020-01-01,62
US1FLCT0041,"HOMOSASSA 5.3 NNE, FL US",2020-01-01,63
USC00085612,"MELBOURNE WEATHER FORECAST OFFICE, FL US",2020-01-01,64
US1FLMN0053,"LOWER SUGARLOAF KEY 0.5 SW, FL US",2020-01-01,65
US1FLPN0116,"TARPON SPRINGS 3.1 E, FL US",2020-01-01,66
US1FLPN0115,"PALM HARBOR 0.8 WNW, FL US",2020-01-01,67
US1FLMN0059,"KEY WEST 1.2 WSW, FL US",2020-01-01,68
US1FLMN0058,"ISLAMORADA 5.2 SW, FL US",2020-01-01,69
US1FLMN0057,"CUDJOE KEY 0.7 SE, FL US",2020-01-01,70
US1FLOK0052,"BAKER 1.8 SSE, FL US",2020-01-01,71
US1FLOK0056,"CRESTVIEW 3.0 SSE, FL US",2020-01-01,72
US1FLMN0052,"KEY WEST 0.4 E, FL US",2020-01-01,73
US1FLFL0024,"PALM COAST 2.1 NNE, FL US",2020-01-01,74
US1FLMN0050,"KEY LARGO 3.4 NE, FL US",2020-01-01,75
US1FLVL0070,"DE LAND 0.6 SSE, FL US",2020-01-01,76
US1FLVL0071,"DE LEON SPRINGS 3.2 ENE, FL US",2020-01-01,77
US1FLVL0077,"NEW SMYRNA BEACH 3.9 W, FL US",2020-01-01,78
USW00053847,"WHITING FIELD NAS SOUTH, FL US",2020-01-01,79
US1FLPN0105,"FEATHER SOUND 1.3 S, FL US",2020-01-01,80
US1FLPN0104,"LARGO 1.5 SSW, FL US",2020-01-01,81
US1FLFL0019,"BUNNELL 1.0 ENE, FL US",2020-01-01,82
US1FLMN0060,"BIG PINE KEY 0.7 NW, FL US",2020-01-01,83
US1FLVL0040,"EDGEWATER 0.1 SW, FL US",2020-01-01,84
US1FLLN0060,"TALLAHASSEE 6.2 E, FL US",2020-01-01,85
US1FLVL0044,"PORT ORANGE 2.9 WSW, FL US",2020-01-01,86
US1FLVL0042,"DAYTONA BEACH SHORES 1.8 SSE, FL US",2020-01-01,87
US1FLSS0096,"VENICE 2.3 SE, FL US",2020-01-01,88
US1FLMA0050,"PALMETTO 7.8 NE, FL US",2020-01-01,89
US1FLCT0029,"HOMOSASSA 6.0 SE, FL US",2020-01-01,90
US1FLSS0091,"SARASOTA 2.6 SE, FL US",2020-01-01,91
US1FLOK0033,"DESTIN 1.3 NW, FL US",2020-01-01,92
US1FLHB0116,"LUTZ 0.6 WSW, FL US",2020-01-01,93
US1FLCT0038,"HERNANDO 3.9 WSW, FL US",2020-01-01,94
US1FLLN0072,"TALLAHASSEE 5.0 SE, FL US",2020-01-01,95
US1FLVL0051,"DE BARY 1.7 NE, FL US",2020-01-01,96
US1FLCT0035,"INVERNESS 4.7 WNW, FL US",2020-01-01,97
US1FLCT0030,"HERNANDO 4.4 WSW, FL US",2020-01-01,98
US1FLLN0078,"TALLAHASSEE 5.6 SE, FL US",2020-01-01,99
US1FLLN0079,"TALLAHASSEE 0.6 ENE, FL US",2020-01-01,100
US1FLHB0114,"RIVERVIEW 0.9 ENE, FL US",2020-01-01,101
US1FLLN0074,"TALLAHASSEE 5.6 ESE, FL US",2020-01-01,102
US1FLOK0049,"WRIGHT 0.7 NNW, FL US",2020-01-01,103
USC00083207,"FORT PIERCE, FL US",2020-01-01,104
US1FLOK0041,"SHALIMAR 1.2 NNW, FL US",2020-01-01,105
US1FLOK0042,"VALPARAISO 1.4 N, FL US",2020-01-01,106
US1FLOK0043,"FORT WALTON BEACH 1.7 ESE, FL US",2020-01-01,107
USW00073805,"NORTHWEST FLORIDA BEACHES INTERNATIONAL AIRPORT, FL US",2020-01-01,108
US1FLMA0038,"BRADENTON 1.4 SW, FL US",2020-01-01,109
US1FLMA0037,"THE MEADOWS 4.4 NE, FL US",2020-01-01,110
US1FLSM0008,"CHULUOTA 0.9 N, FL US",2020-01-01,111
USC00083470,"GLEN ST MARY 1 W, FL US",2020-01-01,112
US1FLCB0012,"LAKE CITY 7.9 SSW, FL US",2020-01-01,113
US1FLLN0047,"TALLAHASSEE 5.2 E, FL US",2020-01-01,114
US1FLSM0004,"SANFORD 0.3 ESE, FL US",2020-01-01,115
USC00085895,"MOORE HAVEN LOCK 1, FL US",2020-01-01,116
US1FLPK0094,"MULBERRY 0.4 SW, FL US",2020-01-01,117
US1FLPK0090,"LAKELAND 2.8 SSW, FL US",2020-01-01,118
US1FLCT0008,"CRYSTAL RIVER 4.7 ESE, FL US",2020-01-01,119
US1FLMA0032,"THE MEADOWS 6.2 NE, FL US",2020-01-01,120
US1FLLN0051,"TALLAHASSEE 5.1 NE, FL US",2020-01-01,121
US1FLCT0011,"HERNANDO 1.6 N, FL US",2020-01-01,122
US1FLCB0025,"LAKE CITY 2.8 ESE, FL US",2020-01-01,123
USC00085880,"MONTICELLO 10 SW, FL US",2020-01-01,124
US1FLPK0087,"LAKELAND 5.8 NE, FL US",2020-01-01,125
US1FLCB0026,"FORT WHITE 2.4 E, FL US",2020-01-01,126
US1FLLN0055,"TALLAHASSEE 5.5 ENE, FL US",2020-01-01,127
US1FLCB0029,"WHITE SPRINGS 2.3 WSW, FL US",2020-01-01,128
US1FLPK0084,"BARTOW 1.9 NW, FL US",2020-01-01,129
US1FLCB0028,"FORT WHITE 4.4 NE, FL US",2020-01-01,130
US1FLCB0019,"LAKE CITY 8.7 S, FL US",2020-01-01,131
USC00087826,"ST AUGUSTINE WTP, FL US",2020-01-01,132
US1FLPK0081,"AUBURNDALE 3.1 WSW, FL US",2020-01-01,133
US1FLOK0029,"MARY ESTHER 0.6 E, FL US",2020-01-01,134
US1FLMA0042,"CORTEZ 1.5 NNW, FL US",2020-01-01,135
US1FLOK0020,"NICEVILLE 3.4 ESE, FL US",2020-01-01,136
US1FLMA0041,"SARASOTA 5.9 NE, FL US",2020-01-01,137
US1FLMA0040,"PARRISH 5.6 SE, FL US",2020-01-01,138
US1FLMA0043,"DESOTO LAKES 4.2 NNE, FL US",2020-01-01,139
US1FLMA0017,"BRADENTON 4.9 WNW, FL US",2020-01-01,140
US1FLMA0018,"BRADENTON 11.0 E, FL US",2020-01-01,141
US1FLHB0141,"CARROLLWOOD 1.3 N, FL US",2020-01-01,142
US1FLLN0025,"TALLAHASSEE 3.5 N, FL US",2020-01-01,143
US1FLHB0140,"GREATER NORTHDALE 1.2 S, FL US",2020-01-01,144
USC00087851,"SAINT LEO, FL US",2020-01-01,145
US1FLHB0142,"ZEPHYRHILLS 8.8 SW, FL US",2020-01-01,146
USC00086761,"PALM BAY, FL US",2020-01-01,147
USC00086767,"PALM COAST 6 NE, FL US",2020-01-01,148
USC00086764,"PALM BEACH GARDENS, FL US",2020-01-01,149
USC00088942,"TITUSVILLE, FL US",2020-01-01,150
US1FLAL0099,"ARCHER 3.8 N, FL US",2020-01-01,151
US1FLVL0009,"DE LAND 5.7 NW, FL US",2020-01-01,152
US1FLLN0018,"MIDWAY 6.9 SW, FL US",2020-01-01,153
US1FLAL0095,"GAINESVILLE 0.5 N, FL US",2020-01-01,154
US1FLAL0096,"GAINESVILLE 7.8 WSW, FL US",2020-01-01,155
US1FLAL0097,"GAINESVILLE 3.0 WNW, FL US",2020-01-01,156
US1FLVL0003,"DE LAND 4.5 NW, FL US",2020-01-01,157
US1FLVL0001,"NEW SMYRNA BEACH 1.5 E, FL US",2020-01-01,158
US1FLVL0005,"ORMOND BEACH 3.5 SE, FL US",2020-01-01,159
US1FLMA0010,"BRADENTON 10.8 SE, FL US",2020-01-01,160
US1FLMA0029,"LAKEWOOD RANCH 3.5 E, FL US",2020-01-01,161
USC00082150,"DAYTONA BEACH, FL US",2020-01-01,162
USC00084571,"KEY WEST WEATHER FORECAST OFFICE, FL US",2020-01-01,163
US1FLHB0154,"SEFFNER 0.4 ESE, FL US",2020-01-01,164
US1FLLN0034,"TALLAHASSEE 9.6 N, FL US",2020-01-01,165
US1FLHB0156,"CARROLLWOOD 0.7 NNE, FL US",2020-01-01,166
USC00085667,"MIAMI NWSFO, FL US",2020-01-01,167
US1FLOK0003,"NICEVILLE 2.3 SE, FL US",2020-01-01,168
USC00086999,"PENSACOLA 7 NNE, FL US",2020-01-01,169
US1FLMA0020,"BRADENTON 3.5 WNW, FL US",2020-01-01,170
US1FLOK0001,"NICEVILLE 3.6 SE, FL US",2020-01-01,171
US1FLOK0002,"EGLIN AFB 5.6 NE, FL US",2020-01-01,172
US1FLHB0128,"RUSKIN 2.1 SE, FL US",2020-01-01,173
US1FLHB0123,"THONOTOSASSA 3.6 NE, FL US",2020-01-01,174
USC00084366,"JACKSONVILLE BEACH, FL US",2020-01-01,175
US1FLAL0078,"GAINESVILLE 5.1 S, FL US",2020-01-01,176
US1FLAL0075,"GAINESVILLE 0.9 WSW, FL US",2020-01-01,177
US1FLMA0006,"ELLENTON 6.6 E, FL US",2020-01-01,178
US1FLHL0038,"SEBRING 2.7 SE, FL US",2020-01-01,179
USC00083020,"FLAMINGO RANGER STATION, FL US",2020-01-01,180
US1FLAL0071,"HAWTHORNE 5.0 WNW, FL US",2020-01-01,181
US1FLAL0072,"GAINESVILLE 0.6 NE, FL US",2020-01-01,182
US1FLLN0010,"TALLAHASSEE 1.3 SW, FL US",2020-01-01,183
US1FLLN0011,"TALLAHASSEE 8.0 N, FL US",2020-01-01,184
US1FLHB0136,"BRANDON 2.8 SW, FL US",2020-01-01,185
US1FLAL0062,"MELROSE 1.7 W, FL US",2020-01-01,186
US1FLAL0063,"GAINESVILLE 3.0 WNW, FL US",2020-01-01,187
US1FLHL0043,"SEBRING 7.9 ESE, FL US",2020-01-01,188
US1FLLE0068,"LEHIGH ACRES 3.8 SSW, FL US",2020-01-01,189
US1FLLE0065,"CYPRESS LAKE 0.5 SSW, FL US",2020-01-01,190
US1FLIR0059,"FELLSMERE 1.4 N, FL US",2020-01-01,191
US1FLES0070,"PENSACOLA 14.2 SW, FL US",2020-01-01,192
US1FLAL0061,"GAINESVILLE 5.8 WSW, FL US",2020-01-01,193
US1FLES0071,"PENSACOLA 0.2 SW, FL US",2020-01-01,194
US1FLIR0054,"VERO BEACH 11.9 NW, FL US",2020-01-01,195
US1FLAL0055,"GAINESVILLE 7.7 W, FL US",2020-01-01,196
US1FLIR0063,"FELLSMERE 4.3 ESE, FL US",2020-01-01,197
US1FLSS0014,"NORTH PORT 1.6 ENE, FL US",2020-01-01,198
US1FLIR0061,"VERO BEACH 3.6 WNW, FL US",2020-01-01,199
US1FLAL0058,"GAINESVILLE 5.0 SSW, FL US",2020-01-01,200
US1FLSS0015,"NORTH PORT 4.7 NNE, FL US",2020-01-01,201
US1FLIR0060,"SEBASTIAN 1.2 NNW, FL US",2020-01-01,202
US1FLAL0051,"MICANOPY 2.1 NNE, FL US",2020-01-01,203
US1FLAL0054,"MICANOPY 2.1 WNW, FL US",2020-01-01,204
US1FLPS0073,"WESLEY CHAPEL 1.7 ESE, FL US",2020-01-01,205
US1FLLE0062,"CAPE CORAL 5.0 SE, FL US",2020-01-01,206
US1FLHL0032,"SEBRING 3.7 NW, FL US",2020-01-01,207
US1FLES0067,"CANTONMENT 5.3 NNW, FL US",2020-01-01,208
US1FLGF0007,"WEWAHITCHKA 1.0 ESE, FL US",2020-01-01,209
US1FLLE0079,"CYPRESS LAKE 1.2 SE, FL US",2020-01-01,210
US1FLLE0078,"CAPE CORAL 3.1 ESE, FL US",2020-01-01,211
US1FLCH0047,"HARBOUR HEIGHTS 3.0 NNW, FL US",2020-01-01,212
US1FLCH0046,"PORT CHARLOTTE 9.8 WSW, FL US",2020-01-01,213
US1FLLE0076,"FORT MYERS 10.0 NE, FL US",2020-01-01,214
US1FLLE0075,"ESTERO 0.5 WNW, FL US",2020-01-01,215
US1FLES0062,"PENSACOLA 12.3 SW, FL US",2020-01-01,216
US1FLIR0048,"VERO BEACH 5.4 NNW, FL US",2020-01-01,217
US1FLIR0047,"VERO BEACH 6.0 S, FL US",2020-01-01,218
US1FLAL0050,"GAINESVILLE 2.4 SW, FL US",2020-01-01,219
USC00086315,"NORTH MIAMI BEACH NUMBER 2, FL US",2020-01-01,220
USC00087887,"ST PETERSBURG 2, FL US",2020-01-01,221
USC00086319,"NORTH PORT, FL US",2020-01-01,222
US1FLBW0007,"POMPANO BEACH HIGHLANDS 0.7 E, FL US",2020-01-01,223
US1FLIR0051,"FELLSMERE 3.8 N, FL US",2020-01-01,224
US1FLPS0068,"NEW PORT RICHEY 2.3 SW, FL US",2020-01-01,225
US1FLIR0050,"VERO BEACH SOUTH 2.4 WNW, FL US",2020-01-01,226
US1FLPS0065,"TRINITY 3.0 ENE, FL US",2020-01-01,227
US1FLMD0094,"MIAMI 2.2 S, FL US",2020-01-01,228
US1FLCH0054,"HARBOUR HEIGHTS 2.3 NNE, FL US",2020-01-01,229
US1FLLE0072,"FORT MYERS 1.7 WNW, FL US",2020-01-01,230
US1FLAL0048,"GAINESVILLE 5.4 W, FL US",2020-01-01,231
US1FLCH0051,"PORT CHARLOTTE 0.7 WNW, FL US",2020-01-01,232
US1FLHL0003,"LAKE PLACID 1.1 WSW, FL US",2020-01-01,233
US1FLIR0041,"VERO BEACH 2.1 NE, FL US",2020-01-01,234
US1FLSS0034,"NORTH PORT 2.6 E, FL US",2020-01-01,235
US1FLAL0031,"GAINESVILLE 6.5 NW, FL US",2020-01-01,236
US1FLHL0012,"SYLVAN SHORES 8.5 NE, FL US",2020-01-01,237
US1FLHS0005,"BONIFAY 1.9 NE, FL US",2020-01-01,238
US1FLLE0057,"CAPE CORAL 4.9 S, FL US",2020-01-01,239
US1FLLE0055,"FORT MYERS 2.3 SW, FL US",2020-01-01,240
USC00084394,"JASPER, FL US",2020-01-01,241
US1FLIR0027,"VERO BEACH 2.5 S, FL US",2020-01-01,242
US1FLIR0026,"VERO BEACH 3.5 SSW, FL US",2020-01-01,243
US1FLIR0024,"VERO BEACH 3.4 W, FL US",2020-01-01,244
US1FLMD0079,"MIAMI 5.7 N, FL US",2020-01-01,245
USC00088756,"TALLAHASSEE AIRPORT, FL US",2020-01-01,246
US1FLSS0047,"SARASOTA 1.4 E, FL US",2020-01-01,247
USC00087429,"QUINCY 3 SSW, FL US",2020-01-01,248
US1FLPS0043,"LAND O LAKES 1.5 SSE, FL US",2020-01-01,249
US1FLHL0001,"LAKE PLACID 4.8 NW, FL US",2020-01-01,250
US1FLAL0026,"GAINESVILLE 1.7 SE, FL US",2020-01-01,251
US1FLSR0004,"PACE 2.4 N, FL US",2020-01-01,252
USW00092821,"TITUSVILLE 7 E, FL US",2020-01-01,253
USC00088782,"TAMPA BAY AREA WEATHER FORECAST OFFICE, FL US",2020-01-01,254
USW00092827,"SEBRING 23 SSE, FL US",2020-01-01,255
USW00092826,"EVERGLADES CITY 5 NE, FL US",2020-01-01,256
USC00088784,"TAMPA 6 NE, FL US",2020-01-01,257
US1FLMD0069,"HOMESTEAD 3.0 NW, FL US",2020-01-01,258
US1FLPB0007,"SUN VALLEY 0.8 SW, FL US",2020-01-01,259
US1FLPB0009,"JUPITER 7.9 W, FL US",2020-01-01,260
US1FLMD0061,"MIAMI 15.1 WSW, FL US",2020-01-01,261
US1FLWS0001,"VERNON 10.6 WSW, FL US",2020-01-01,262
US1FLSS0052,"SARASOTA 4.0 S, FL US",2020-01-01,263
US1FLWS0003,"SUNNY HILLS 3.3 N, FL US",2020-01-01,264
US1FLSS0053,"NORTH PORT 2.1 NNW, FL US",2020-01-01,265
US1FLWS0006,"VERNON 0.5 NW, FL US",2020-01-01,266
US1FLAL0017,"HIGH SPRINGS 3.2 SW, FL US",2020-01-01,267
US1FLBW0045,"MIRAMAR 3.7 E, FL US",2020-01-01,268
US1FLPB0012,"ABERDEEN 4.2 NNW, FL US",2020-01-01,269
US1FLPB0013,"LAKE WORTH 1.0 NNW, FL US",2020-01-01,270
USC00087205,"PLANT CITY, FL US",2020-01-01,271
US1FLPS0015,"DADE CITY 4.3 N, FL US",2020-01-01,272
US1FLAL0002,"ARCHER 5.5 E, FL US",2020-01-01,273
US1FLMD0051,"CUTLER RIDGE 1.5 SSW, FL US",2020-01-01,274
US1FLSS0067,"ENGLEWOOD 2.6 N, FL US",2020-01-01,275
US1FLSS0065,"NOKOMIS 3.6 E, FL US",2020-01-01,276
US1FLSS0063,"SARASOTA 4.8 ENE, FL US",2020-01-01,277
US1FLSS0062,"VAMO 2.1 E, FL US",2020-01-01,278
US1FLSR0026,"MILTON 2.9 NW, FL US",2020-01-01,279
US1FLAL0007,"GAINESVILLE 8.1 SW, FL US",2020-01-01,280
US1FLOS0041,"KISSIMMEE 3.7 SSW, FL US",2020-01-01,281
US1FLBV0005,"PALM BAY 3.1 NNW, FL US",2020-01-01,282
US1FLBV0006,"MELBOURNE 1.1 N, FL US",2020-01-01,283
US1FLWT0022,"DE FUNIAK SPRINGS 4.1 NNW, FL US",2020-01-01,284
US1FLWT0023,"DE FUNIAK SPRINGS 7.3 NNE, FL US",2020-01-01,285
US1FLWT0025,"INLET BEACH 2.7 WNW, FL US",2020-01-01,286
US1FLWT0028,"SEACREST 0.4 NW, FL US",2020-01-01,287
USW00003818,"MARIANNA MUNICIPAL AIRPORT, FL US",2020-01-01,288
US1FLPS0006,"LUTZ 3.4 NE, FL US",2020-01-01,289
US1FLWT0029,"DE FUNIAK SPRINGS 4.8 S, FL US",2020-01-01,290
US1FLPS0004,"PORT RICHEY 2.0 NNE, FL US",2020-01-01,291
US1FLPB0029,"INDIANTOWN 8.6 SW, FL US",2020-01-01,292
US1FLMD0041,"LINDGREN ACRES 0.7 SW, FL US",2020-01-01,293
US1FLPS0010,"DADE CITY 1.8 WSW, FL US",2020-01-01,294
US1FLSR0030,"NAVARRE 4.1 ENE, FL US",2020-01-01,295
US1FLSS0077,"SARASOTA 4.4 SSE, FL US",2020-01-01,296
US1FLHM0005,"WHITE SPRINGS 0.3 NW, FL US",2020-01-01,297
US1FLBV0001,"PALM BAY 2.6 SSE, FL US",2020-01-01,298
US1FLSS0075,"NORTH PORT 2.1 NNW, FL US",2020-01-01,299
US1FLBV0002,"PALM SHORES 1.4 W, FL US",2020-01-01,300
US1FLSR0035,"PACE 3.0 NNW, FL US",2020-01-01,301
US1FLOS0037,"ST CLOUD 3.1 E, FL US",2020-01-01,302
US1FLSR0036,"JAY 4.0 WSW, FL US",2020-01-01,303
US1FLSR0038,"NAVARRE 3.0 ENE, FL US",2020-01-01,304
US1FLLE0080,"CAPE CORAL 2.2 WNW, FL US",2020-01-01,305
US1FLOS0031,"CAMPBELL 1.4 NNW, FL US",2020-01-01,306
US1FLWT0012,"DE FUNIAK SPRINGS 2.9 N, FL US",2020-01-01,307
US1FLPB0031,"ROYAL PALM BEACH 5.0 W, FL US",2020-01-01,308
US1FLPB0034,"PAHOKEE 1.6 NE, FL US",2020-01-01,309
USC00089401,"WAUCHULA, FL US",2020-01-01,310
USC00087228,"MOUNT PLYMOUTH 1 SSW, FL US",2020-01-01,311
US1FLPB0037,"WELLINGTON 0.7 SE, FL US",2020-01-01,312
US1FLPS0001,"HUDSON 1.1 ESE, FL US",2020-01-01,313
US1FLSR0042,"MILTON 8.0 E, FL US",2020-01-01,314
US1FLSR0043,"MILTON 0.9 NNW, FL US",2020-01-01,315
US1FLSS0088,"OSPREY 1.1 ESE, FL US",2020-01-01,316
US1FLSR0044,"NAVARRE 0.6 N, FL US",2020-01-01,317
US1FLSS0084,"NORTH PORT 5.2 NNE, FL US",2020-01-01,318
US1FLSS0082,"ENGLEWOOD 0.2 ENE, FL US",2020-01-01,319
US1FLPT0032,"INTERLACHEN 4.4 WNW, FL US",2020-01-01,320
US1FLPT0033,"EAST PALATKA 1.0 SW, FL US",2020-01-01,321
USC00085076,"LISBON, FL US",2020-01-01,322
US1FLBW0076,"PLANTATION 3.4 E, FL US",2020-01-01,323
US1FLWT0003,"MIRAMAR BEACH 9.5 ESE, FL US",2020-01-01,324
US1FLOR0019,"UNION PARK 1.1 E, FL US",2020-01-01,325
US1FLMD0026,"MIAMI LAKES 0.3 NNW, FL US",2020-01-01,326
US1FLWT0005,"DE FUNIAK SPRINGS 12.5 NW, FL US",2020-01-01,327
US1FLMD0022,"HAMMOCKS 0.5 SSE, FL US",2020-01-01,328
US1FLJF0010,"MONTICELLO 2.9 WSW, FL US",2020-01-01,329
US1FLGL0013,"MOORE HAVEN 10.4 N, FL US",2020-01-01,330
US1FLBW0079,"MARGATE 0.4 W, FL US",2020-01-01,331
US1FLBV0023,"COCOA 2.6 WNW, FL US",2020-01-01,332
US1FLPT0027,"HOLLISTER 0.5 NW, FL US",2020-01-01,333
US1FLPT0026,"INTERLACHEN 3.6 NNE, FL US",2020-01-01,334
US1FLPT0024,"SAN MATEO 2.5 SE, FL US",2020-01-01,335
US1FLPT0021,"CRESCENT CITY 2.0 N, FL US",2020-01-01,336
US1FLJF0009,"MONTICELLO 4.3 ENE, FL US",2020-01-01,337
US1FLBV0014,"PALM BAY 1.0 NE, FL US",2020-01-01,338
US1FLBV0013,"ROCKLEDGE 1.1 WSW, FL US",2020-01-01,339
US1FLBV0011,"MELBOURNE BEACH 3.9 SSE, FL US",2020-01-01,340
US1FLLB0001,"TELOGIA 2.5 SE, FL US",2020-01-01,341
US1FLPT0012,"FLORAHOME 4.1 NNE, FL US",2020-01-01,342
US1FLES0015,"GONZALEZ 2.1 E, FL US",2020-01-01,343
US1FLBV0047,"ROCKLEDGE 1.8 NNE, FL US",2020-01-01,344
USW00092806,"ST PETERSBURG ALBERT WHITTED AIRPORT, FL US",2020-01-01,345
US1FLMD0007,"SUNSET 2.4 SW, FL US",2020-01-01,346
USC00088368,"SOUTH BAY 15 S, FL US",2020-01-01,347
USW00092805,"POMPANO BEACH AIRPARK, FL US",2020-01-01,348
USC00085099,"LIVE OAK, FL US",2020-01-01,349
USC00089219,"VERO BEACH 4 SE, FL US",2020-01-01,350
US1FLMD0003,"LINDGREN ACRES 0.5 WSW, FL US",2020-01-01,351
US1FLOR0046,"ORLANDO 2.2 WNW, FL US",2020-01-01,352
USW00092809,"HOLLYWOOD NORTH PERRY AIRPORT, FL US",2020-01-01,353
US1FLPT0009,"INTERLACHEN 2.8 NNE, FL US",2020-01-01,354
US1FLPT0007,"SATSUMA 4.0 NE, FL US",2020-01-01,355
US1FLPT0008,"EAST PALATKA 3.5 NNW, FL US",2020-01-01,356
US1FLPT0004,"SATSUMA 0.2 WSW, FL US",2020-01-01,357
USC00087261,"NEW SMYRNA BEACH MARINE DISCOVERY CENTER, FL US",2020-01-01,358
US1FLBV0038,"TITUSVILLE 3.5 NW, FL US",2020-01-01,359
US1FLBV0036,"MERRIT ISLAND 9.1 N, FL US",2020-01-01,360
USC00087020,"PERRINE 4 W, FL US",2020-01-01,361
USC00087025,"PERRY, FL US",2020-01-01,362
US1FLBW0067,"DAVIE 2.6 WSW, FL US",2020-01-01,363
USW00092814,"ST AUGUSTINE AIRPORT, FL US",2020-01-01,364
US1FLOR0026,"ORLANDO 4.8 NNW, FL US",2020-01-01,365
